base_year_month,time_type,user_type,age_range,use_amount_by_million
201801,밤,내국인,19세 이하,2
201801,밤,내국인,20대,605
201801,밤,내국인,30대,963
201801,밤,내국인,40대,1163
201801,밤,내국인,50대,978
201801,밤,내국인,60대,312
201801,밤,내국인,70대 이상,55
201801,밤,제주도민,19세 이하,11
201801,밤,제주도민,20대,1029
201801,밤,제주도민,30대,1607
201801,밤,제주도민,40대,2433
201801,밤,제주도민,50대,2061
201801,밤,제주도민,60대,572
201801,밤,제주도민,70대 이상,90
201801,오전,내국인,19세 이하,3
201801,오전,내국인,20대,700
201801,오전,내국인,30대,1329
201801,오전,내국인,40대,1869
201801,오전,내국인,50대,1836
201801,오전,내국인,60대,781
201801,오전,내국인,70대 이상,178
201801,오전,제주도민,19세 이하,4
201801,오전,제주도민,20대,292
201801,오전,제주도민,30대,881
201801,오전,제주도민,40대,1836
201801,오전,제주도민,50대,2015
201801,오전,제주도민,60대,1280
201801,오전,제주도민,70대 이상,501
201801,오후,내국인,19세 이하,15
201801,오후,내국인,20대,1847
201801,오후,내국인,30대,3218
201801,오후,내국인,40대,4306
201801,오후,내국인,50대,4050
201801,오후,내국인,60대,1716
201801,오후,내국인,70대 이상,406
201801,오후,제주도민,19세 이하,18
201801,오후,제주도민,20대,962
201801,오후,제주도민,30대,2689
201801,오후,제주도민,40대,5142
201801,오후,제주도민,50대,5127
201801,오후,제주도민,60대,2952
201801,오후,제주도민,70대 이상,1148
201801,저녁,내국인,19세 이하,15
201801,저녁,내국인,20대,1860
201801,저녁,내국인,30대,3012
201801,저녁,내국인,40대,4002
201801,저녁,내국인,50대,3742
201801,저녁,내국인,60대,1340
201801,저녁,내국인,70대 이상,276
201801,저녁,제주도민,19세 이하,22
201801,저녁,제주도민,20대,1661
201801,저녁,제주도민,30대,3616
201801,저녁,제주도민,40대,5968
201801,저녁,제주도민,50대,5874
201801,저녁,제주도민,60대,2380
201801,저녁,제주도민,70대 이상,531
201801,점심,내국인,19세 이하,8
201801,점심,내국인,20대,1296
201801,점심,내국인,30대,2344
201801,점심,내국인,40대,3035
201801,점심,내국인,50대,2854
201801,점심,내국인,60대,1226
201801,점심,내국인,70대 이상,339
201801,점심,제주도민,19세 이하,11
201801,점심,제주도민,20대,597
201801,점심,제주도민,30대,1922
201801,점심,제주도민,40대,3720
201801,점심,제주도민,50대,3706
201801,점심,제주도민,60대,2159
201801,점심,제주도민,70대 이상,944
201802,밤,내국인,19세 이하,1
201802,밤,내국인,20대,571
201802,밤,내국인,30대,793
201802,밤,내국인,40대,943
201802,밤,내국인,50대,782
201802,밤,내국인,60대,235
201802,밤,내국인,70대 이상,49
201802,밤,제주도민,19세 이하,11
201802,밤,제주도민,20대,995
201802,밤,제주도민,30대,1467
201802,밤,제주도민,40대,2217
201802,밤,제주도민,50대,1834
201802,밤,제주도민,60대,510
201802,밤,제주도민,70대 이상,83
201802,오전,내국인,19세 이하,3
201802,오전,내국인,20대,676
201802,오전,내국인,30대,1081
201802,오전,내국인,40대,1445
201802,오전,내국인,50대,1379
201802,오전,내국인,60대,570
201802,오전,내국인,70대 이상,152
201802,오전,제주도민,19세 이하,4
201802,오전,제주도민,20대,299
201802,오전,제주도민,30대,858
201802,오전,제주도민,40대,1793
201802,오전,제주도민,50대,2005
201802,오전,제주도민,60대,1252
201802,오전,제주도민,70대 이상,597
201802,오후,내국인,19세 이하,14
201802,오후,내국인,20대,1843
201802,오후,내국인,30대,2723
201802,오후,내국인,40대,3276
201802,오후,내국인,50대,2993
201802,오후,내국인,60대,1350
201802,오후,내국인,70대 이상,371
201802,오후,제주도민,19세 이하,24
201802,오후,제주도민,20대,1024
201802,오후,제주도민,30대,2587
201802,오후,제주도민,40대,4991
201802,오후,제주도민,50대,5179
201802,오후,제주도민,60대,3095
201802,오후,제주도민,70대 이상,1263
201802,저녁,내국인,19세 이하,12
201802,저녁,내국인,20대,1893
201802,저녁,내국인,30대,2426
201802,저녁,내국인,40대,3031
201802,저녁,내국인,50대,2752
201802,저녁,내국인,60대,1036
201802,저녁,내국인,70대 이상,222
201802,저녁,제주도민,19세 이하,23
201802,저녁,제주도민,20대,1652
201802,저녁,제주도민,30대,3254
201802,저녁,제주도민,40대,5443
201802,저녁,제주도민,50대,5218
201802,저녁,제주도민,60대,2152
201802,저녁,제주도민,70대 이상,553
201802,점심,내국인,19세 이하,7
201802,점심,내국인,20대,1342
201802,점심,내국인,30대,1958
201802,점심,내국인,40대,2387
201802,점심,내국인,50대,2113
201802,점심,내국인,60대,1006
201802,점심,내국인,70대 이상,310
201802,점심,제주도민,19세 이하,12
201802,점심,제주도민,20대,637
201802,점심,제주도민,30대,1812
201802,점심,제주도민,40대,3530
201802,점심,제주도민,50대,3752
201802,점심,제주도민,60대,2167
201802,점심,제주도민,70대 이상,1007
201803,밤,내국인,19세 이하,3
201803,밤,내국인,20대,567
201803,밤,내국인,30대,1004
201803,밤,내국인,40대,1160
201803,밤,내국인,50대,974
201803,밤,내국인,60대,348
201803,밤,내국인,70대 이상,57
201803,밤,제주도민,19세 이하,11
201803,밤,제주도민,20대,1031
201803,밤,제주도민,30대,1590
201803,밤,제주도민,40대,2568
201803,밤,제주도민,50대,2093
201803,밤,제주도민,60대,620
201803,밤,제주도민,70대 이상,96
201803,오전,내국인,19세 이하,11
201803,오전,내국인,20대,702
201803,오전,내국인,30대,1535
201803,오전,내국인,40대,1669
201803,오전,내국인,50대,1704
201803,오전,내국인,60대,1020
201803,오전,내국인,70대 이상,291
201803,오전,제주도민,19세 이하,6
201803,오전,제주도민,20대,349
201803,오전,제주도민,30대,982
201803,오전,제주도민,40대,1940
201803,오전,제주도민,50대,2245
