base_year,base_quarter,biz_name,sex,age_range,use_amount_by_million
2018,1분기,건강보조식품 소매업,남성,70대 이상,900
2018,1분기,건강보조식품 소매업,여성,70대 이상,1100
2018,1분기,건강보조식품 소매업,남성,70대 이상,1100
2018,1분기,건강보조식품 소매업,여성,70대 이상,1000
2018,1분기,건강보조식품 소매업,남성,70대 이상,1400
2018,1분기,건강보조식품 소매업,여성,70대 이상,2100
2018,2분기,건강보조식품 소매업,남성,70대 이상,2400
2018,2분기,건강보조식품 소매업,여성,70대 이상,1800
2018,2분기,건강보조식품 소매업,남성,70대 이상,1800
2018,2분기,건강보조식품 소매업,여성,70대 이상,1900
2018,2분기,건강보조식품 소매업,남성,70대 이상,1200
2018,2분기,건강보조식품 소매업,여성,70대 이상,1000
2018,3분기,건강보조식품 소매업,남성,70대 이상,700
2018,3분기,건강보조식품 소매업,여성,70대 이상,800
2018,3분기,건강보조식품 소매업,남성,70대 이상,800
2018,3분기,건강보조식품 소매업,여성,70대 이상,800
2018,3분기,건강보조식품 소매업,남성,70대 이상,2100
2018,3분기,건강보조식품 소매업,여성,70대 이상,1500
2018,4분기,건강보조식품 소매업,남성,70대 이상,1400
2018,4분기,건강보조식품 소매업,여성,70대 이상,1100
2018,4분기,건강보조식품 소매업,남성,70대 이상,1500
2018,4분기,건강보조식품 소매업,여성,70대 이상,2000
2018,4분기,건강보조식품 소매업,남성,70대 이상,1100
2018,4분기,건강보조식품 소매업,여성,70대 이상,1800
2019,1분기,건강보조식품 소매업,남성,70대 이상,1200
2019,1분기,건강보조식품 소매업,여성,70대 이상,800
2019,1분기,건강보조식품 소매업,남성,70대 이상,1300
2019,1분기,건강보조식품 소매업,여성,70대 이상,1000
2019,1분기,건강보조식품 소매업,남성,70대 이상,1900
2019,1분기,건강보조식품 소매업,여성,70대 이상,1800
2019,2분기,건강보조식품 소매업,남성,70대 이상,2100
2019,2분기,건강보조식품 소매업,여성,70대 이상,2600
2019,2분기,건강보조식품 소매업,남성,70대 이상,2400
2019,2분기,건강보조식품 소매업,여성,70대 이상,2200
2019,2분기,건강보조식품 소매업,남성,70대 이상,1000
2019,2분기,건강보조식품 소매업,여성,70대 이상,1200
2019,3분기,건강보조식품 소매업,남성,70대 이상,900
2019,3분기,건강보조식품 소매업,여성,70대 이상,1200
2019,3분기,건강보조식품 소매업,남성,70대 이상,500
2019,3분기,건강보조식품 소매업,여성,70대 이상,1300
2019,3분기,건강보조식품 소매업,남성,70대 이상,1500
2019,3분기,건강보조식품 소매업,여성,70대 이상,1200
2019,4분기,건강보조식품 소매업,남성,70대 이상,1400
2019,4분기,건강보조식품 소매업,여성,70대 이상,1200
2019,4분기,건강보조식품 소매업,남성,70대 이상,1800
2019,4분기,건강보조식품 소매업,여성,70대 이상,2200
2019,4분기,건강보조식품 소매업,남성,70대 이상,1300
2019,4분기,건강보조식품 소매업,여성,70대 이상,1000
2020,1분기,건강보조식품 소매업,남성,70대 이상,1500
2020,1분기,건강보조식품 소매업,여성,70대 이상,1300
2020,1분기,건강보조식품 소매업,남성,70대 이상,700
2020,1분기,건강보조식품 소매업,여성,70대 이상,500
2020,1분기,건강보조식품 소매업,남성,70대 이상,700
2020,1분기,건강보조식품 소매업,여성,70대 이상,1100
2020,2분기,건강보조식품 소매업,남성,70대 이상,1300
2020,2분기,건강보조식품 소매업,여성,70대 이상,800
2020,2분기,건강보조식품 소매업,남성,70대 이상,1900
2020,2분기,건강보조식품 소매업,여성,70대 이상,1600
2020,2분기,건강보조식품 소매업,남성,70대 이상,1200
2020,2분기,건강보조식품 소매업,여성,70대 이상,1500
2020,3분기,건강보조식품 소매업,남성,70대 이상,1500
2020,3분기,건강보조식품 소매업,여성,70대 이상,1700
2020,3분기,건강보조식품 소매업,남성,70대 이상,800
2020,3분기,건강보조식품 소매업,여성,70대 이상,1100
2020,3분기,건강보조식품 소매업,남성,70대 이상,1600
2020,3분기,건강보조식품 소매업,여성,70대 이상,1800
2020,4분기,건강보조식품 소매업,남성,70대 이상,1100
2020,4분기,건강보조식품 소매업,여성,70대 이상,1100
2020,4분기,건강보조식품 소매업,남성,70대 이상,2000
2020,4분기,건강보조식품 소매업,여성,70대 이상,1400
2020,4분기,건강보조식품 소매업,남성,70대 이상,1100
2020,4분기,건강보조식품 소매업,여성,70대 이상,1000
2021,1분기,건강보조식품 소매업,남성,70대 이상,900
2021,1분기,건강보조식품 소매업,여성,70대 이상,800
2021,1분기,건강보조식품 소매업,남성,70대 이상,1300
2021,1분기,건강보조식품 소매업,여성,70대 이상,900
2021,1분기,건강보조식품 소매업,남성,70대 이상,900
2021,1분기,건강보조식품 소매업,여성,70대 이상,1100
2021,2분기,건강보조식품 소매업,남성,70대 이상,1000
2021,2분기,건강보조식품 소매업,여성,70대 이상,1300
2021,2분기,건강보조식품 소매업,남성,70대 이상,1300
2021,2분기,건강보조식품 소매업,여성,70대 이상,1300
2021,2분기,건강보조식품 소매업,남성,70대 이상,1300
2021,2분기,건강보조식품 소매업,여성,70대 이상,1200
