base_year_month,day_of_week,age_range,sex,use_count
201801,공휴일,19세 이하,남성,125
201801,공휴일,19세 이하,여성,73
201801,공휴일,20대,남성,8214
201801,공휴일,20대,여성,8354
201801,공휴일,30대,남성,15761
201801,공휴일,30대,여성,11570
201801,공휴일,40대,남성,19262
201801,공휴일,40대,여성,12598
201801,공휴일,50대,남성,16325
201801,공휴일,50대,여성,9662
201801,공휴일,60대,남성,6730
201801,공휴일,60대,여성,3675
201801,공휴일,70대 이상,남성,1582
201801,공휴일,70대 이상,여성,906
201801,공휴일,알수없음,알수없음,12179
201801,금요일,19세 이하,남성,973
201801,금요일,19세 이하,여성,649
201801,금요일,20대,남성,36613
201801,금요일,20대,여성,36535
201801,금요일,30대,남성,60477
201801,금요일,30대,여성,44755
201801,금요일,40대,남성,76523
201801,금요일,40대,여성,53242
201801,금요일,50대,남성,65358
201801,금요일,50대,여성,39657
201801,금요일,60대,남성,26180
201801,금요일,60대,여성,15059
201801,금요일,70대 이상,남성,7558
201801,금요일,70대 이상,여성,4159
201801,금요일,알수없음,알수없음,75233
201801,목요일,19세 이하,남성,905
201801,목요일,19세 이하,여성,538
201801,목요일,20대,남성,34630
201801,목요일,20대,여성,35940
201801,목요일,30대,남성,52637
201801,목요일,30대,여성,39714
201801,목요일,40대,남성,69489
201801,목요일,40대,여성,49118
201801,목요일,50대,남성,59663
201801,목요일,50대,여성,37768
201801,목요일,60대,남성,24871
201801,목요일,60대,여성,14100
201801,목요일,70대 이상,남성,7176
201801,목요일,70대 이상,여성,3777
201801,목요일,알수없음,알수없음,70861
201801,수요일,19세 이하,남성,908
201801,수요일,19세 이하,여성,583
201801,수요일,20대,남성,35031
201801,수요일,20대,여성,36560
201801,수요일,30대,남성,53450
201801,수요일,30대,여성,39948
201801,수요일,40대,남성,68929
201801,수요일,40대,여성,48942
201801,수요일,50대,남성,59069
201801,수요일,50대,여성,38890
201801,수요일,60대,남성,25354
201801,수요일,60대,여성,14930
201801,수요일,70대 이상,남성,7583
201801,수요일,70대 이상,여성,4038
201801,수요일,알수없음,알수없음,71435
201801,월요일,19세 이하,남성,884
201801,월요일,19세 이하,여성,621
201801,월요일,20대,남성,33469
201801,월요일,20대,여성,34604
201801,월요일,30대,남성,53837
201801,월요일,30대,여성,41354
201801,월요일,40대,남성,68574
201801,월요일,40대,여성,49614
201801,월요일,50대,남성,60272
201801,월요일,50대,여성,39144
201801,월요일,60대,남성,26126
201801,월요일,60대,여성,15479
201801,월요일,70대 이상,남성,8644
201801,월요일,70대 이상,여성,4405
201801,월요일,알수없음,알수없음,72106
201801,일요일,19세 이하,남성,946
201801,일요일,19세 이하,여성,640
201801,일요일,20대,남성,43483
